ID;CourseID;Number;SpecificationAbb;Edition;EditionOrder;Year;Type;StarValue;Remark
570;48;80;LC;3;1;;PT;1;
571;48;81;LC;3;1;;PT;1;
572;48;82;LC;3;1;;PT;1;
573;48;83;LC;3;1;;PT;1;
574;48;84;LC;3;1;;PT;1;
575;49;73;SC;3;1;;PT;1;
576;49;74;SC;3;1;;PT;1;
577;49;75;SC;3;1;;PT;1;
578;49;76;SC;3;1;;PT;1;
579;49;77;SC;3;1;;PT;1;
580;49;78;SC;3;1;;PT;1;
581;49;79;SC;3;1;;PT;1;
582;49;80;SC;3;1;;PT;1;
583;49;81;SC;3;1;;PT;1;
584;49;82;SC;3;1;;PT;1;
585;49;83;SC;3;1;;PT;1;
586;49;84;SC;3;1;;PT;1;
587;50;73;SS;3;1;;PT;1;
588;50;74;SS;3;1;;PT;1;
589;50;75;SS;3;1;;PT;1;
590;50;76;SS;3;1;;PT;1;
591;50;77;SS;3;1;;PT;1;
592;50;78;SS;3;1;;PT;1;
593;51;1;SI;3;1;;PT;1;
594;51;2;SI;3;1;;PT;1;
595;51;3;SI;3;1;;PT;1;
596;52;73;BR;3;1;;PT;1;
597;52;74;BR;3;1;;PT;1;
598;52;75;BR;3;1;;PT;1;
599;52;76;BR;3;1;;PT;1;
600;52;77;BR;3;1;;PT;1;
601;52;78;BR;3;1;;PT;1;
602;52;79;BR;3;1;;PT;1;
603;52;80;BR;3;1;;PT;1;
604;52;81;BR;3;1;;PT;1;
605;52;82;BR;3;1;;PT;1;
606;52;83;BR;3;1;;PT;1;
607;52;84;BR;3;1;;PT;1;
608;53;85;GM;3;1;;PT;1;
609;53;86;GM;3;1;;PT;1;
610;53;87;GM;3;1;;PT;1;
611;53;88;GM;3;1;;PT;1;
612;53;89;GM;3;1;;PT;1;
613;53;90;GM;3;1;;PT;1;
614;53;91;GM;3;1;;PT;1;
615;53;92;GM;3;1;;PT;1;
616;53;93;GM;3;1;;PT;1;
617;53;94;GM;3;1;;PT;1;
618;53;95;GM;3;1;;PT;1;
619;53;96;GM;3;1;;PT;1;
620;54;85;EN;3;1;;PT;1;
621;54;86;EN;3;1;;PT;1;
622;54;87;EN;3;1;;PT;1;
623;54;88;EN;3;1;;PT;1;
624;54;89;EN;3;1;;PT;1;
625;54;90;EN;3;1;;PT;1;
626;54;91;EN;3;1;;PT;1;
627;54;92;EN;3;1;;PT;1;
628;54;93;EN;3;1;;PT;1;
629;54;94;EN;3;1;;PT;1;
630;54;95;EN;3;1;;PT;1;
631;54;96;EN;3;1;;PT;1;
632;55;85;WB;3;1;;PT;1;
633;55;86;WB;3;1;;PT;1;
634;55;87;WB;3;1;;PT;1;
635;55;88;WB;3;1;;PT;1;
636;55;89;WB;3;1;;PT;1;
637;55;90;WB;3;1;;PT;1;
638;55;91;WB;3;1;;PT;1;
639;55;92;WB;3;1;;PT;1;
640;55;93;WB;3;1;;PT;1;
641;55;94;WB;3;1;;PT;1;
642;55;95;WB;3;1;;PT;1;
643;55;96;WB;3;1;;PT;1;
644;56;86;LC;3;1;;PT;1;
645;56;87;LC;3;1;;PT;1;
646;56;88;LC;3;1;;PT;1;
647;56;89;LC;3;1;;PT;1;
648;56;90;LC;3;1;;PT;1;
649;56;91;LC;3;1;;PT;1;
650;56;92;LC;3;1;;PT;1;
651;56;93;LC;3;1;;PT;1;
652;56;94;LC;3;1;;PT;1;
653;56;95;LC;3;1;;PT;1;
654;56;96;LC;3;1;;PT;1;
655;57;85;ES;3;1;;PT;1;
656;57;86;ES;3;1;;PT;1;
657;57;87;ES;3;1;;PT;1;
658;57;88;ES;3;1;;PT;1;
659;57;89;ES;3;1;;PT;1;
660;57;90;ES;3;1;;PT;1;
661;57;91;ES;3;1;;PT;1;
662;57;92;ES;3;1;;PT;1;
663;57;93;ES;3;1;;PT;1;
664;57;94;ES;3;1;;PT;1;
665;57;95;ES;3;1;;PT;1;
666;57;96;ES;3;1;;PT;1;
667;58;85;UK;3;1;;PT;1;
668;58;86;UK;3;1;;PT;1;
669;58;87;UK;3;1;;PT;1;
670;58;88;UK;3;1;;PT;1;
671;58;89;UK;3;1;;PT;1;
672;58;90;UK;3;1;;PT;1;
673;58;91;UK;3;1;;PT;1;
674;58;92;UK;3;1;;PT;1;
675;58;93;UK;3;1;;PT;1;
676;58;94;UK;3;1;;PT;1;
677;58;95;UK;3;1;;PT;1;
678;58;96;UK;3;1;;PT;1;
679;59;85;WH;3;1;;PT;1;
680;59;86;WH;3;1;;PT;1;
681;59;87;WH;3;1;;PT;1;
682;59;88;WH;3;1;;PT;1;
683;59;89;WH;3;1;;PT;1;
684;59;90;WH;3;1;;PT;1;
685;59;91;WH;3;1;;PT;1;
686;59;92;WH;3;1;;PT;1;
687;59;93;WH;3;1;;PT;1;
688;59;94;WH;3;1;;PT;1;
689;59;95;WH;3;1;;PT;1;
690;59;96;WH;3;1;;PT;1;
