ID,Name,Alias,ICCE-Alias,Level,SubjectID,Remarks,Specification,SubjectGroupID,CourseType,Course,PassThreshold,Status
123,,Christian Counselling II,,12,7,Apologetics option only?,CC,1,Further Credit Option,Christian Counselling II,0.8,
124,Basic Christian Growth,Christian Growth,ICCE-C48,12,7,,CG,1,Further Credit Option,Christian Growth,0.8,
125,,Life of Christ II,,12,7,Only possible to choose this as an option for Apologetics III,LC,1,Further Credit Option,Life of Christ II,0.8,
126,Basic New Testament Church History,New Testament Church History II,,12,7,Only possible to choose this as an option for Apologetics III,NC,1,Further Credit Option,New Testament Church History II,0.8,Active
127,,English Composition I,,10,2,Welk level? Staat niet op het blad,EC,2,Core,English Composition I,0.8,
128,,,,,,,,,,,,
129,,ICCE Biology,,9,5,,IB,2,Further Credit Option,ICCE Biology,0.8,
130,,Biology Apologia,,10,5,,BA,2,Further Credit Option,Biology Apologia,0.8,
131,,Life of Christ,,12,7,,LC,1,Further Credit Option,Life of Christ,0.8,Active
132,,Dutch Language Staatsexamen VMBO,,9,2,,NL,2,Further Credit Option,Dutch Language Staatsexamen VMBO,0.8,
133,,Social Studies Essay General,,9,6,,ES,7,CourseWork,Social Studies Essay General,0.8,
134,,Science Essay General,,9,5,,ES,7,CourseWork,Science Essay General,0.8,
135,,Biblical Studies Essay Intermediate,,10,7,,ES,7,CourseWork,Biblical Studies Essay Intermediate,0.8,Active
136,,English Essay Intermediate,,10,2,,ES,7,CourseWork,English Essay Intermediate,0.8,
137,,Social Studies Essay Intermediate,,10,6,,ES,7,CourseWork,Social Studies Essay Intermediate,0.8,
138,,Science Essay Intermediate,,10,5,,ES,7,CourseWork,Science Essay Intermediate,0.8,
139,,Biblical Studies Essay Advanced,,12,7,,ES,7,CourseWork,Biblical Studies Essay Advanced,0.8,Active
140,,Maths Paper Advanced,,12,1,,ES,7,CourseWork,Maths Paper Advanced,0.8,
141,,English Essay Advanced,,12,2,,ES,7,CourseWork,English Essay Advanced,0.8,
142,,Social Studies Essay Advanced,,12,6,,ES,7,CourseWork,Social Studies Essay Advanced,0.8,
143,,Sciences Project Advanced,,12,5,,PR,7,CourseWork,Sciences Project Advanced,0.8,
144,,Sciences Essay Advanced,,12,5,,ES,7,CourseWork,Sciences Essay Advanced,0.8,
145,,English III Dissertation,,12,2,,DS,7,CourseWork,English III Dissertation,0.8,
146,,Literature Level 9,,9,4,"Alleen even getallen hebben PACE beschikbaar. 106 is niet meer te verkrijgen, dus is vervangen door Poetry of After the Flood. Daarom staat er ipv 106 ""106P"". Er moeten zes PACEs in totaal worden gedaan met de keuze uit deze vijf beschikbare, of Poetry 1 of 2, of After the Flood. ",LC,2,Core,Literature Level 9,0.8,
147,,UK Social Studies,,5,6,,UK,2,Core,Social Studies Level 5 UK,0.8,
148,,US History,,10,6,,UH,2,Further Credit Option,Social Studies Level 10 American History,0.8,
149,,Animal Science,,2,5,,AS,2,Core,Science Level 2 Animal,0.8,
150,English Grammar,Grammar,,6,2,Elective,EG,2,Further Credit Option,English Grammar,0.8,
151,,Apologetics I,Apologetics I-A (2019),9,7,"Dit zijn alleen twee PACE's 97,102. Vroeger waren dit aparte PACEs, maar nu gebundeld in ‚‚n PACE ""Apologetics 01"".",AP,1,Core,,0.8,Active
152,,Apologetics II,Apologetics I-B (2019),10,7,"Dit zijn alleen vier PACE's 98-101. De sterren worden niet gegeven voor de toetsen maar voor de essays voor de boeken die ze moeten lezen. Vroeger waren dit aparte PACEs, maar nu gebundeld in ‚‚n PACE ""Apologetics 02"".",AP,1,Core,,0.8,Active
153,World History,World History,,10,6,Dit lijkt op ID59 maar zie opmerking daar. Dit valt ook onder een andere SubjectGroupID (klopt dat?). ,WH,2,Core,Social Studies Level 12 World History,0.8,Active
154,,Algebra I & Geometry I,Mathematics-IB,12,1,"Dit is een nieuwe optie waarbij de leerling de eerste helft van Algebra 1 en Geometry I mag doen, en dan bij Intermediate de tweede helft van Algebra 1 en Geometry. ",MA,2,Core,Algebra I & Geometry I,0.8,
155,,Algebra I & Geometry II,Mathematics-IIB,12,1,"De naamgeving is misleidend, er staat ""Geometry II"" maar hiermee wordt bedoeld de tweede helft van Geometry",MA,2,Core,Algebra I & Geometry II,0.8,
159,,ICCE Physical Science,AEE Physical Science I-B (part 1),9,5,"Dit is verplicht vanaf 2024-01 voor General. De formele naam is ""ICCE ?"" maar de publisher is ""AEE"", dit is samen met vak ID=160 ‚‚n vak. ",SC,2,Core,AEE Physical Science,0.8,
160,,ICCE Physical Science,AEE Physical Science I-B (part 2),9,5,"Dit is verplicht vanaf 2024-01 voor General. De formele naam is ""ICCE ?"" maar de publisher is ""AEE"", dit is samen met vak ID=159 ‚‚n vak. ",SC,2,Core,AEE Physical Science,0.8,
999,,Rosetta Stone Language X,,,,Moet ik dit toevoegen voor elke unit en taal?,RS,2,Core,,0.8,
161,Basic New Testament Church History,New Testament Church History I,,12,7,Only possible to choose this as an option for Apologetics II,NC,1,Further Credit Option,New Testament Church History I,0.8,Active
162,Basic Biographies of Christians,Biographies of Christians,,12,7,,BC,1,Further Credit Option,Biographies of Christians,0.8,Active
163,College Basic Old Testament Survey,College Old Testament Survey,,12,7,,COTS,1,Further Credit Option,College Old Testament Survey,0.8,Inactive
164,U.S. Civics,Civics,,12,6,,USCI,2,Further Credit Option,Social Studies Level 12,0.8,
165,Economics,Economics,,12,6,,ECON,2,Further Credit Option,Social Studies Level 12,0.8,
